Zipcode,population,population_density,housing_units,median_home_value,median_household_income
10009,61347.0,99492.0,31709.0,672800.0,59929.0
10002,81410.0,92573.0,34541.0,535600.0,33218.0
10011,50984.0,77436.0,33252.0,914500.0,104238.0
10001,21102.0,33959.0,12476.0,650200.0,81671.0
10014,31959.0,56119.0,21689.0,947300.0,108483.0
10010,31834.0,81487.0,18030.0,746200.0,97955.0
10013,27700.0,50154.0,13460.0,1000001.0,83725.0
10038,20300.0,68214.0,10211.0,616300.0,66074.0
10007,6988.0,42751.0,3143.0,1000001.0,216037.0
10036,24711.0,55745.0,17958.0,810300.0,66599.0
10019,42870.0,63042.0,31404.0,808600.0,84424.0
10018,5229.0,16251.0,4425.0,1000001.0,104635.0
10003,56024.0,97188.0,31078.0,817700.0,92540.0
10005,7135.0,97048.0,5317.0,1000001.0,124670.0
10004,3089.0,5519.0,2197.0,894200.0,129313.0
10006,3011.0,32796.0,1991.0,714300.0,119274.0
10016,54183.0,101814.0,35617.0,759600.0,105324.0
10012,24090.0,74517.0,14633.0,1000001.0,86594.0
10026,34003.0,102315.0,15823.0,602400.0,43107.0
10030,26999.0,96790.0,12976.0,509000.0,31925.0
10031,56438.0,86722.0,22604.0,369800.0,37655.0
10027,59707.0,68513.0,25071.0,716100.0,37872.0
10035,33969.0,24329.0,13935.0,445900.0,24533.0
10037,17416.0,65973.0,9451.0,260200.0,37341.0
10029,76003.0,92116.0,31121.0,787000.0,31888.0
10039,24527.0,52965.0,10868.0,352300.0,33595.0
10032,57331.0,87199.0,21417.0,334900.0,34568.0
10128,60453.0,128441.0,35240.0,1000001.0,96296.0
10463,67970.0,47002.0,30368.0,289700.0,54258.0
10034,38908.0,34544.0,15671.0,354700.0,41171.0
10025,94600.0,125860.0,47617.0,934600.0,68516.0
10022,31924.0,73158.0,23485.0,866100.0,109019.0
10017,16575.0,51775.0,12875.0,637100.0,100652.0
10167,,,,,
10023,60998.0,124357.0,39402.0,872500.0,103534.0
10105,,,,,
10033,53926.0,89201.0,20116.0,422100.0,41556.0
10044,11661.0,48251.0,4913.0,580400.0,83066.0
10280,7853.0,56710.0,4962.0,685700.0,129574.0
10282,4783.0,54674.0,2484.0,1000001.0,230952.0
10281,,,,,
10065,32270.0,83533.0,22754.0,1000001.0,115519.0
10021,43631.0,112711.0,28628.0,1000001.0,107907.0
10075,26121.0,141546.0,16493.0,805300.0,102941.0
10028,45141.0,143683.0,28139.0,1000001.0,104638.0
10024,59283.0,69106.0,33952.0,1000001.0,109956.0
10069,5199.0,49908.0,3146.0,966600.0,170630.0
10040,41905.0,111184.0,16506.0,317300.0,42721.0
10457,70496.0,66425.0,24364.0,397500.0,24949.0
10458,79492.0,78784.0,27806.0,330300.0,24618.0
10451,45713.0,45043.0,17779.0,170600.0,26754.0
10456,86547.0,84979.0,29651.0,388600.0,23452.0
10469,66631.0,26903.0,24078.0,427100.0,57776.0
10466,67813.0,33601.0,24854.0,391300.0,44012.0
10475,40931.0,23753.0,18911.0,76000.0,43629.0
10468,76103.0,70778.0,26178.0,171200.0,33776.0
10467,97060.0,41649.0,37432.0,369500.0,36048.0
10460,57311.0,43567.0,20706.0,391700.0,22307.0
10473,58519.0,26846.0,21323.0,386600.0,35866.0
10472,66358.0,63167.0,23386.0,429600.0,30288.0
10464,4534.0,1295.0,2272.0,484000.0,70078.0
10462,75784.0,51207.0,31331.0,271300.0,45864.0
10803,12435.0,5682.0,4498.0,690900.0,140000.0
10465,42230.0,12313.0,16889.0,437800.0,65450.0
10459,47308.0,57907.0,16496.0,343900.0,24461.0
10471,22922.0,8878.0,10054.0,360800.0,71798.0
10453,78309.0,85491.0,27018.0,445200.0,25470.0
10452,75371.0,76548.0,25866.0,402800.0,25979.0
10454,37337.0,35820.0,12772.0,386000.0,20232.0
10474,12281.0,8010.0,3985.0,351800.0,25676.0
10455,39665.0,55696.0,13851.0,318600.0,22609.0
10461,50502.0,21045.0,21127.0,454700.0,52347.0
10470,15293.0,10734.0,6882.0,401200.0,58600.0
11228,41788.0,28428.0,18234.0,681700.0,61893.0
11214,88630.0,40566.0,35261.0,598800.0,43398.0
11220,99598.0,55603.0,31045.0,615300.0,37580.0
11209,68853.0,31845.0,34679.0,625600.0,58261.0
11219,92221.0,62225.0,28693.0,726700.0,34316.0
11221,78895.0,57033.0,31784.0,543800.0,39178.0
11233,67053.0,49746.0,29074.0,551900.0,34492.0
11213,63767.0,58448.0,24974.0,582300.0,34794.0
11206,81677.0,56939.0,29941.0,533400.0,28559.0
11216,54316.0,58065.0,25964.0,623300.0,43996.0
11205,40366.0,42508.0,16409.0,636900.0,44688.0
11238,49262.0,44555.0,24525.0,656800.0,65315.0
11226,101572.0,78775.0,37745.0,480500.0,40734.0
11204,78134.0,49173.0,28196.0,657500.0,45472.0
11234,87757.0,11627.0,33714.0,488200.0,68431.0
11217,35881.0,47796.0,17581.0,857000.0,81862.0
11201,51128.0,35981.0,26390.0,669000.0,95369.0
11218,75220.0,52664.0,26598.0,546300.0,52445.0
11232,28265.0,22028.0,8980.0,582900.0,43595.0
11230,86408.0,46966.0,34028.0,598000.0,42170.0
11235,79132.0,35237.0,37619.0,531000.0,41639.0
11212,84500.0,54944.0,31847.0,391700.0,28348.0
11237,49896.0,50927.0,16724.0,464500.0,40372.0
11207,93386.0,34965.0,34202.0,403800.0,32945.0
11236,93877.0,26112.0,33313.0,478700.0,61061.0
11239,13393.0,23470.0,6335.0,354600.0,26275.0
11231,33336.0,23441.0,16149.0,912000.0,78174.0
11249,,,,,
11224,47621.0,30841.0,20768.0,317800.0,27481.0
11225,56829.0,64295.0,23588.0,615700.0,42922.0
11208,94469.0,27333.0,32069.0,441100.0,35079.0
11210,62008.0,37785.0,22476.0,485500.0,55429.0
11203,76174.0,35502.0,28087.0,426100.0,48400.0
11229,80018.0,36934.0,34885.0,524100.0,51725.0
11215,63488.0,29148.0,30073.0,913200.0,95654.0
11223,78731.0,37956.0,32407.0,613000.0,41328.0
11222,36934.0,24232.0,18756.0,726500.0,63739.0
11211,90117.0,39209.0,37180.0,655500.0,46848.0
11370,39688.0,27899.0,10244.0,517100.0,52500.0
11691,60035.0,21185.0,21160.0,448200.0,39409.0
11692,18540.0,18566.0,6881.0,355800.0,43354.0
11102,34133.0,42255.0,15499.0,597700.0,49924.0
11106,38875.0,45359.0,18296.0,433600.0,48720.0
11103,38780.0,54537.0,18518.0,648900.0,55129.0
11377,89830.0,35274.0,33545.0,395800.0,49886.0
11105,36688.0,22481.0,17416.0,658700.0,57525.0
11101,25484.0,9744.0,12317.0,654900.0,47142.0
11361,28606.0,16269.0,11195.0,574200.0,75335.0
11360,18884.0,13251.0,9308.0,524000.0,76183.0
11357,39150.0,13973.0,15924.0,590800.0,71978.0
11358,37546.0,19260.0,14068.0,625200.0,65722.0
11364,34555.0,14013.0,13835.0,510800.0,72909.0
11693,11916.0,11950.0,5170.0,323100.0,50570.0
11694,20408.0,14944.0,9341.0,623200.0,76944.0
11426,17590.0,13039.0,6389.0,460500.0,82301.0
11428,19168.0,23021.0,5780.0,407700.0,69330.0
11004,14016.0,14752.0,5152.0,432500.0,81709.0
11001,26883.0,12057.0,9598.0,477300.0,101634.0
11435,53687.0,35447.0,18963.0,338100.0,53041.0
11411,18556.0,15875.0,6164.0,387900.0,83099.0
11356,23438.0,14915.0,8303.0,562900.0,58465.0
11354,54878.0,25324.0,22201.0,380600.0,46566.0
11420,44354.0,21345.0,13743.0,421200.0,59832.0
11368,109931.0,41768.0,30978.0,480900.0,45964.0
11373,100820.0,66007.0,33227.0,499600.0,47667.0
11372,66636.0,90360.0,25100.0,265500.0,48683.0
11363,6988.0,8045.0,2797.0,714200.0,90799.0
11362,17823.0,7081.0,7347.0,538000.0,82332.0
11369,38615.0,36170.0,12184.0,464500.0,53617.0
11378,34981.0,13697.0,13668.0,538600.0,57474.0
11040,40782.0,8526.0,13900.0,536900.0,101434.0
11375,68733.0,34707.0,34631.0,358300.0,72000.0
11355,85871.0,49492.0,30681.0,507500.0,41884.0
11365,42252.0,16923.0,16098.0,580300.0,55492.0
11367,41047.0,17252.0,15588.0,376400.0,56608.0
11366,13532.0,12362.0,4723.0,610100.0,71350.0
11374,43600.0,46664.0,20225.0,297300.0,52532.0
11385,98592.0,27290.0,37251.0,495800.0,50799.0
11005,1806.0,9898.0,1852.0,403700.0,64300.0
11421,39127.0,30376.0,12695.0,414700.0,60897.0
11379,34821.0,16785.0,14649.0,543800.0,69843.0
11432,60809.0,28295.0,19518.0,519000.0,50450.0
11423,29987.0,21254.0,10165.0,422200.0,60892.0
11412,34882.0,21186.0,11526.0,385700.0,70672.0
11427,23593.0,14967.0,7958.0,458400.0,70108.0
11429,25105.0,19296.0,7791.0,384700.0,68890.0
11433,32687.0,21062.0,11483.0,379700.0,42887.0
11414,26148.0,11370.0,11330.0,501700.0,66790.0
11422,30425.0,15456.0,9900.0,413800.0,84824.0
11415,19341.0,34042.0,9206.0,289800.0,63549.0
11418,36256.0,22201.0,11854.0,427000.0,60691.0
11413,38912.0,12553.0,12975.0,406200.0,78667.0
11109,3523.0,87802.0,2127.0,428600.0,125871.0
11104,27232.0,69826.0,12532.0,421800.0,56059.0
11416,24861.0,37347.0,7806.0,447200.0,56724.0
11417,28967.0,25886.0,9714.0,442900.0,62086.0
11419,47211.0,41805.0,13454.0,442900.0,56735.0
11436,17949.0,22783.0,5924.0,365500.0,62114.0
11434,59129.0,18256.0,21681.0,371900.0,59229.0
11430,,,,,
10312,59304.0,7723.0,22155.0,467300.0,85324.0
10305,41749.0,9819.0,16187.0,415300.0,70758.0
10314,85510.0,6235.0,32533.0,437500.0,77242.0
10303,26337.0,8395.0,8811.0,325100.0,51537.0
10310,24962.0,13903.0,9043.0,414600.0,61925.0
10302,19088.0,15982.0,6427.0,382000.0,56841.0
10301,39706.0,10852.0,16261.0,402300.0,56848.0
10304,42193.0,10889.0,15467.0,403700.0,53168.0
10306,55909.0,7481.0,22017.0,450200.0,75807.0
10308,27357.0,13864.0,10715.0,452600.0,88075.0
10309,32519.0,4840.0,11686.0,539100.0,86297.0
10307,14096.0,7184.0,5354.0,567400.0,86457.0
